table,key,field,old,new,authority,reason,source,date,actor
extraction_outcomes,thomson2023_cohort_t240m_paidany,denominator_basis,unclear,outcome_observed,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 = 56 consented + 16 deceased with accessible notes (2014 only). The sheet entered n_outcome_observed 0, an entry error. Point prevalence of current paid work is defined among the living, so the denominator is the 56 living observed and n_assessed carries the author's 72; 0 employed of 72 implies 0 of 56. missing_data_method: the sheet's 'stated' is not a vocabulary value; the count is complete-case among those observed.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_paidany,missing_data_method,not_stated,complete_case,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 = 56 consented + 16 deceased with accessible notes (2014 only). The sheet entered n_outcome_observed 0, an entry error. Point prevalence of current paid work is defined among the living, so the denominator is the 56 living observed and n_assessed carries the author's 72; 0 employed of 72 implies 0 of 56. missing_data_method: the sheet's 'stated' is not a vocabulary value; the count is complete-case among those observed.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_paidany,notes,TRUE ZERO not missing. DENOMINATOR NOT STATED so n_outcome_observed blank. n_assessed 66 = 48 interviewed + 18 case note only,"TRUE ZERO not missing. DENOMINATOR NOT STATED so n_outcome_observed blank. n_assessed 66 = 48 interviewed + 18 case note only. //  AUTHOR CONTACTED - RESPONSE RECEIVED. | 23 Sep 2026: Author reply: denominator 72 = 56 consented + 16 deceased with accessible notes (2014 only). The sheet entered n_outcome_observed 0, an entry error. Point prevalence of current paid work is defined among the living, so the denominator is the 56 living observed and n_assessed carries the author's 72; 0 employed of 72 implies 0 of 56. missing_data_method: the sheet's 'stated' is not a vocabulary value; the count is complete-case among those observed.","Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 = 56 consented + 16 deceased with accessible notes (2014 only). The sheet entered n_outcome_observed 0, an entry error. Point prevalence of current paid work is defined among the living, so the denominator is the 56 living observed and n_assessed carries the author's 72; 0 employed of 72 implies 0 of 56. missing_data_method: the sheet's 'stated' is not a vocabulary value; the count is complete-case among those observed.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_vocact,n_employed,,8,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 (56 consented + 16 deceased with accessible notes). 8/72 = 11.1 per cent reproduces the printed percentage, so the authors' base includes the deceased. The sheet entered n_outcome_observed 8, an entry error. denominator_basis stays unclear because a base including the deceased is not those whose current status was observed among the living; the reply does not say whether the 8 are all living. 'stated' is not a vocabulary value; complete_case applied.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_vocact,n_outcome_observed,,72,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 (56 consented + 16 deceased with accessible notes). 8/72 = 11.1 per cent reproduces the printed percentage, so the authors' base includes the deceased. The sheet entered n_outcome_observed 8, an entry error. denominator_basis stays unclear because a base including the deceased is not those whose current status was observed among the living; the reply does not say whether the 8 are all living. 'stated' is not a vocabulary value; complete_case applied.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_vocact,n_assessed,66,72,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 (56 consented + 16 deceased with accessible notes). 8/72 = 11.1 per cent reproduces the printed percentage, so the authors' base includes the deceased. The sheet entered n_outcome_observed 8, an entry error. denominator_basis stays unclear because a base including the deceased is not those whose current status was observed among the living; the reply does not say whether the 8 are all living. 'stated' is not a vocabulary value; complete_case applied.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_vocact,missing_data_method,not_stated,complete_case,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 (56 consented + 16 deceased with accessible notes). 8/72 = 11.1 per cent reproduces the printed percentage, so the authors' base includes the deceased. The sheet entered n_outcome_observed 8, an entry error. denominator_basis stays unclear because a base including the deceased is not those whose current status was observed among the living; the reply does not say whether the 8 are all living. 'stated' is not a vocabulary value; complete_case applied.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,thomson2023_cohort_t240m_vocact,notes,Numerator BLANK deliberately: only a percentage given and 11.1% implies a denominator matching none of the reported counts,"Numerator BLANK deliberately: only a percentage given and 11.1% implies a denominator matching none of the reported counts // AUTHOR RESPONSE: ""Denominator = 72 (56 consented + 16 deceased with accessible notes; 2014 only)"" | 23 Sep 2026: Author reply: denominator 72 (56 consented + 16 deceased with accessible notes). 8/72 = 11.1 per cent reproduces the printed percentage, so the authors' base includes the deceased. The sheet entered n_outcome_observed 8, an entry error. denominator_basis stays unclear because a base including the deceased is not those whose current status was observed among the living; the reply does not say whether the 8 are all living. 'stated' is not a vocabulary value; complete_case applied.","Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply: denominator 72 (56 consented + 16 deceased with accessible notes). 8/72 = 11.1 per cent reproduces the printed percentage, so the authors' base includes the deceased. The sheet entered n_outcome_observed 8, an entry error. denominator_basis stays unclear because a base including the deceased is not those whose current status was observed among the living; the reply does not say whether the 8 are all living. 'stated' is not a vocabulary value; complete_case applied.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,tarricone2017_cohort_t12m_paidoredu,notes,"INTERNAL INCONSISTENCY: 75 employed is called both 46 per cent of the total sample and 53 per cent of those still in contact. Only 75/163 = 46.0 per cent is arithmetically consistent (75/135 = 55.6 per cent and 53 per cent of 135 is 71.6), so the 163 reading is recorded; n_assessed left blank because the 135 still in contact is smaller than the denominator used and would break the nesting rule. Occupational data came from clinical charts and the SIT information system, so ascertainment for all 163 is possible but not stated. paid_or_education because full-time study counted as employment. perc_female derived as (163-92)/163 and perc_employed_baseline as (45+24)/163 from published counts | CORRECTED 11 Aug 2026 (Stage B recheck, human reviewer): denominator was 163, the number RECRUITED. 'One hundred thirty five patients (105 natives and 30 migrants) were still receiving care at 12 months' (Results, Occupational outcome, p. 523); 135/163 = 82.8% matches the Abstract. Construct is paid_or_education because 'Full time study was considered employment' (Methods, Study design, p. 523), so this cannot enter the paid_any pool. PUBLISHED ERROR: 75 described as '53% of those still in contact', but 75/135 = 55.6% (p. 524).","INTERNAL INCONSISTENCY: 75 employed is called both 46 per cent of the total sample and 53 per cent of those still in contact. Only 75/163 = 46.0 per cent is arithmetically consistent (75/135 = 55.6 per cent and 53 per cent of 135 is 71.6), so the 163 reading is recorded; n_assessed left blank because the 135 still in contact is smaller than the denominator used and would break the nesting rule. Occupational data came from clinical charts and the SIT information system, so ascertainment for all 163 is possible but not stated. paid_or_education because full-time study counted as employment. perc_female derived as (163-92)/163 and perc_employed_baseline as (45+24)/163 from published counts | CORRECTED 11 Aug 2026 (Stage B recheck, human reviewer): denominator was 163, the number RECRUITED. 'One hundred thirty five patients (105 natives and 30 migrants) were still receiving care at 12 months' (Results, Occupational outcome, p. 523); 135/163 = 82.8% matches the Abstract. Construct is paid_or_education because 'Full time study was considered employment' (Methods, Study design, p. 523), so this cannot enter the paid_any pool. PUBLISHED ERROR: 75 described as '53% of those still in contact', but 75/135 = 55.6% (p. 524). // ""PUBLISHED ERROR CONFIRMED BY AUTHOR: Text reports 75 as '53% of those still in contact' (p. 524), but 75/135 = 55.6%. Author confirmed 55.6% is the correct value; 53% was a typographical error.""","Author reply, recorded in the final extraction sheet (23 September 2026)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,chang2016_fes_t36m_paidoredu,conflict_note,"CONSTRUCT: the source contradicts itself about what sustained employment counts. Methods 2.2 (p. 2) defines it as 'maintained full-time work/study or part-time work for 12 consecutive months in the third year of follow-up', i.e. full-time STUDY counts. Table 1 footnote b (p. 3) defines the same variable as 'maintaining full-time or part-time work for the last 12 months of the 3-year follow-up' and Table 2 footnote e (p. 3) as 'maintained full-time or part-time employment in the last 12 months'; both omit study. The numerator is therefore either a paid-work-or-education composite (Methods) or any paid work (footnotes), which are different constructs in different outcome families. Not resolvable from the report. DENOMINATOR: Table 1 heads the schizophrenia column n = 374 and prints sustained employment as '111 (30.0)'. 111/374 = 29.7%, and NO integer numerator over 374 gives 30.0% (112/374 = 29.9%, 113/374 = 30.2%), so the printed percentage cannot have been computed on 374. 111/370 = 30.0% exactly, and the printed chi-square of 4.6 for this comparison reproduces at 370 (4.63) but not at 374 (4.85 uncorrected, 4.14 with continuity correction); every other percentage in the same column reproduces exactly on 374 (38/374 = 10.2%, 43/374 = 11.5%, 76/374 = 20.3%, 162/374 = 43.3%) and their chi-squares also reproduce on 374. Four schizophrenia patients therefore appear to be missing from the employment denominator, and the report never says so.","CONSTRUCT: the source contradicts itself about what sustained employment counts. Methods 2.2 (p. 2) defines it as 'maintained full-time work/study or part-time work for 12 consecutive months in the third year of follow-up', i.e. full-time STUDY counts. Table 1 footnote b (p. 3) defines the same variable as 'maintaining full-time or part-time work for the last 12 months of the 3-year follow-up' and Table 2 footnote e (p. 3) as 'maintained full-time or part-time employment in the last 12 months'; both omit study. The numerator is therefore either a paid-work-or-education composite (Methods) or any paid work (footnotes), which are different constructs in different outcome families. Not resolvable from the report. DENOMINATOR: Table 1 heads the schizophrenia column n = 374 and prints sustained employment as '111 (30.0)'. 111/374 = 29.7%, and NO integer numerator over 374 gives 30.0% (112/374 = 29.9%, 113/374 = 30.2%), so the printed percentage cannot have been computed on 374. 111/370 = 30.0% exactly, and the printed chi-square of 4.6 for this comparison reproduces at 370 (4.63) but not at 374 (4.85 uncorrected, 4.14 with continuity correction); every other percentage in the same column reproduces exactly on 374 (38/374 = 10.2%, 43/374 = 11.5%, 76/374 = 20.3%, 162/374 = 43.3%) and their chi-squares also reproduce on 374. Four schizophrenia patients therefore appear to be missing from the employment denominator, and the report never says so. // ""Author confirmed construct includes full-time study. However, denominator discrepancy remains: author states n=374, but 111/374=29.7% ≠ printed 30.0%; 111/370=30.0% exactly, and chi-square reproduces at 370 not 374.""","Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply confirms the construct includes full-time study (paid_or_education, as extracted), but the 370 against 374 denominator conflict persists, so conflict_status stays unresolved. The sheet's 'partially_resolved (...)' is not a vocabulary value and is not applied; the note records the partial resolution.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,chang2016_femp_t36m_paidoredu,conflict_status,unresolved,resolved,"Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply confirms the construct includes full-time study; 21/46 reproduces exactly. Author-confirmed, so resolved rather than the sheet's 'none' (the vocabulary reserves resolved for a conflict settled by an authority).",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,chang2016_femp_t36m_paidoredu,conflict_note,"CONSTRUCT: the source contradicts itself about what sustained employment counts. Methods 2.2 (p. 2) defines it as 'maintained full-time work/study or part-time work for 12 consecutive months in the third year of follow-up', i.e. full-time STUDY counts. Table 1 footnote b (p. 3) defines the same variable as 'maintaining full-time or part-time work for the last 12 months of the 3-year follow-up' and Table 2 footnote e (p. 3) as 'maintained full-time or part-time employment in the last 12 months'; both omit study. The numerator is therefore either a paid-work-or-education composite (Methods) or any paid work (footnotes), which are different constructs in different outcome families. Not resolvable from the report. The denominator conflict documented for chang2016_fes_t36m_paidoredu does not arise here (21/46 = 45.7% exactly, matching the printed value), but it establishes that a column heading in this table is not necessarily the employment denominator, so 46 is recorded as a reporting base only.","CONSTRUCT: the source contradicts itself about what sustained employment counts. Methods 2.2 (p. 2) defines it as 'maintained full-time work/study or part-time work for 12 consecutive months in the third year of follow-up', i.e. full-time STUDY counts. Table 1 footnote b (p. 3) defines the same variable as 'maintaining full-time or part-time work for the last 12 months of the 3-year follow-up' and Table 2 footnote e (p. 3) as 'maintained full-time or part-time employment in the last 12 months'; both omit study. The numerator is therefore either a paid-work-or-education composite (Methods) or any paid work (footnotes), which are different constructs in different outcome families. Not resolvable from the report. The denominator conflict documented for chang2016_fes_t36m_paidoredu does not arise here (21/46 = 45.7% exactly, matching the printed value), but it establishes that a column heading in this table is not necessarily the employment denominator, so 46 is recorded as a reporting base only. // Author confirmed construct includes full-time study. Denominator 46 verified: 21/46=45.7% matches printed value exactly.","Author reply, recorded in the final extraction sheet (23 September 2026)","Author reply confirms the construct includes full-time study; 21/46 reproduces exactly. Author-confirmed, so resolved rather than the sheet's 'none' (the vocabulary reserves resolved for a conflict settled by an authority).",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,benson2022_relapse_mostrecent_fulltime,notes,"Fragment of the paid-employment total; no independent analytical meaning in this review, so result_role = component_only and it never enters any pool. Component of benson2022_relapse_mostrecent_paidany.","Fragment of the paid-employment total; no independent analytical meaning in this review, so result_role = component_only and it never enters any pool. Component of benson2022_relapse_mostrecent_paidany. // Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,benson2022_relapse_mostrecent_paidany,notes,"ZERO SEPARABILITY (D12.3): satisfied. These are mutually exclusive employment-STATUS categories, not intensity bands: every category containing positive paid work (full-time, part-time, self-employed) is separate from every category containing no paid work (unemployed, retired), so there is no residual band pooling zero work with low-intensity work. Contrast rautio2016, where the '<25.0%' band made paid_any unidentifiable. SELF-EMPLOYMENT is counted as paid work; the sibling cohort's own review literature and nossel2018's definition both treat self-employment as paid employment. It is not counted as competitive because this report establishes no labour-market setting. DENOMINATOR: n_outcome_observed = 16311, the printed 16,862 minus the printed 551/501 with missing employment data. reported_percentage_base = 16,862 because the authors' own percentages divide by the full matched cohort including the missing category (12,721/16,862 = 75.4 exactly, as printed). NO HORIZON: followup_basis = unclear and followup_months is left blank. The outcome is 'based on the most recent nonmissing data during the study period', the study period runs 1 January 2013 to 30 September 2019 and includes the 12-month pre-index baseline, and the authors state that 'because a cross-sectional approach was used in examining societal outcomes across the full study period, no temporality was applied between the exposure (relapse) and the outcomes of interest'. Mean follow-up was 4.7 years but that is the length of the observation window, not the time at which employment was measured, so no elapsed time from cohort entry can be assigned and no landmark horizon applies. ARM: this is a propensity-score-matched relapse subgroup of the 119,343-veteran schizophrenia cohort, not a whole recruited cohort, so it cannot enter the primary prevalence estimand (SAP 2.1 and 7) irrespective of the conflict status. MODERATOR: only the male count is printed (15,499 of 16,862); the sex variable is not shown to be exhaustive, so n_female is left blank rather than derived by complement.","ZERO SEPARABILITY (D12.3): satisfied. These are mutually exclusive employment-STATUS categories, not intensity bands: every category containing positive paid work (full-time, part-time, self-employed) is separate from every category containing no paid work (unemployed, retired), so there is no residual band pooling zero work with low-intensity work. Contrast rautio2016, where the '<25.0%' band made paid_any unidentifiable. SELF-EMPLOYMENT is counted as paid work; the sibling cohort's own review literature and nossel2018's definition both treat self-employment as paid employment. It is not counted as competitive because this report establishes no labour-market setting. DENOMINATOR: n_outcome_observed = 16311, the printed 16,862 minus the printed 551/501 with missing employment data. reported_percentage_base = 16,862 because the authors' own percentages divide by the full matched cohort including the missing category (12,721/16,862 = 75.4 exactly, as printed). NO HORIZON: followup_basis = unclear and followup_months is left blank. The outcome is 'based on the most recent nonmissing data during the study period', the study period runs 1 January 2013 to 30 September 2019 and includes the 12-month pre-index baseline, and the authors state that 'because a cross-sectional approach was used in examining societal outcomes across the full study period, no temporality was applied between the exposure (relapse) and the outcomes of interest'. Mean follow-up was 4.7 years but that is the length of the observation window, not the time at which employment was measured, so no elapsed time from cohort entry can be assigned and no landmark horizon applies. ARM: this is a propensity-score-matched relapse subgroup of the 119,343-veteran schizophrenia cohort, not a whole recruited cohort, so it cannot enter the primary prevalence estimand (SAP 2.1 and 7) irrespective of the conflict status. MODERATOR: only the male count is printed (15,499 of 16,862); the sex variable is not shown to be exhaustive, so n_female is left blank rather than derived by complement. // Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,strassnig2017_s2017cohort_t240m_paidcomp,notes,"Reported only as a percentage of the whole analysed sample; the numerator is unrecoverable. reported_percentage_base = 128 is the sample the Results section names, but the Abstract names 122 for the same analysis, so even the base is contested. paid_any is NOT identified: the construct excludes work in 'non-supportive settings', so supported and sheltered paid work are outside the numerator and are not separable from the not-employed group.","Reported only as a percentage of the whole analysed sample; the numerator is unrecoverable. reported_percentage_base = 128 is the sample the Results section names, but the Abstract names 122 for the same analysis, so even the base is contested. paid_any is NOT identified: the construct excludes work in 'non-supportive settings', so supported and sheltered paid work are outside the numerator and are not separable from the not-employed group. // Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,strassnig2018_s2018scz_t240m_paidcomp,notes,"paid_any is NOT identified for this arm: the construct explicitly excludes anyone 'participating in supported employment', and supported and sheltered paid workers are pooled with the not-employed, so zero paid work is not separable. Bounds 36 <= paid_any <= 146. n_female = 146 - 88 male (Table 1) and is exact arithmetic on printed counts, not a back-calculation from a percentage. mean_age 47.9 is age at the 20-year assessment; baseline age is not printed.","paid_any is NOT identified for this arm: the construct explicitly excludes anyone 'participating in supported employment', and supported and sheltered paid workers are pooled with the not-employed, so zero paid work is not separable. Bounds 36 <= paid_any <= 146. n_female = 146 - 88 male (Table 1) and is exact arithmetic on printed counts, not a back-calculation from a percentage. mean_age 47.9 is age at the 20-year assessment; baseline age is not printed. // Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
extraction_outcomes,strassnig2018_s2018bp_t240m_paidcomp,notes,Bipolar disorder with psychosis. paid_any is NOT identified for this arm on the same grounds as the schizophrenia arm; bounds 46 <= paid_any <= 87. n_female = 87 - 43 male (Table 1). mean_age 47.6 is age at the 20-year assessment.,"Bipolar disorder with psychosis. paid_any is NOT identified for this arm on the same grounds as the schizophrenia arm; bounds 46 <= paid_any <= 87. n_female = 87 - 43 male (Table 1). mean_age 47.6 is age at the 20-year assessment. // Author contacted, no response.","Author request sent, no reply by the 27 August 2026 closure (final extraction sheet)","Annotation from the final extraction sheet, applied verbatim.",extraction_outcomes_final.xlsx sha256 0480fb297abf636b,2026-09-23,claude-opus-5.5
