cohort_id,arm_id,arm_type,analysis_selection_status,analysis_selection_reason,intervention_name,intervention_description,cluster_randomised,n_clusters,icc_reported,baseline_unemployed_required,baseline_wants_work_required,all_original_arms_included,post_randomisation_selection,employment_targeted_intervention,common_construct_across_arms,selective_reweighting,n_entered
nz_idi,non_maori,subgroup,none,not_applicable,,Non-Maori members of the FEP cohort,no,,,no,no,,,,,,1275
dk_registers_1998,cohort,cohort,none,not_applicable,,Whole register cohort; antipsychotic exposure modelled as a time-varying within-person variable rather than as arms,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,65630
bologna_fep,cohort,cohort,none,not_applicable,,"All FEP patients presenting to Bologna West CMHCs; care included a first-episode programme with at-risk, early intervention and post-acute psychosocial components",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,163
bologna_fep,interrupted,subgroup,none,not_applicable,,Patients who suspended work or study activity at illness onset (denominator for the return-to-activity outcome),no,,,yes,no,,,,,,36
croatia_rlai,cohort,cohort,none,not_applicable,,All patients switched to risperidone long-acting injection under naturalistic conditions at clinician discretion,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,362
croatia_rlai,unemployed_baseline,subgroup,none,not_applicable,,Patients not employed at baseline among those with 12-month employment data (Table 6),no,,,yes,no,,,,,,154
nhsl_colombo_fep,cohort,cohort,none,not_applicable,,First episode cohort: first presentation to mental health services with DUP under 12 months and under 2 weeks of antipsychotic exposure,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,122
nhsl_colombo_rec,cohort,cohort,none,not_applicable,,Recurrent/relapsing episode cohort: prior diagnosis of schizophrenia presenting with a new episode or relapse,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,118
kaisyuan_taiwan,cohort,cohort,none,not_applicable,,"Whole sample was in vocational training by design (supported employment, sheltered employment or unpaid job training), first placement of under 3 months at entry",no,,,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,65
pp1m_asiapac,cohort,cohort,none,not_applicable,Paliperidone palmitate once-monthly (PP1M),Single-arm open-label PP1M: 150 mg eq. day 1 then 100 mg eq. day 8 then flexible monthly maintenance doses of 50-150 mg eq. for 18 months,no,,,no,no,not_applicable,not_applicable,no,not_applicable,no,521
croatia_rlai,pension_excluded,subgroup,selected,analytic_restriction,,"Employment analysis restricted to patients not receiving a disability pension at baseline: 'In the analysis of employment we omitted the patients who were receiving disability pension at baseline, 71/362 (19.6%), because their employment status could not have changed' (Results, Employment, p. 268).",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,
hk_easy_fep_2001_2003,fes,subgroup,none,not_applicable,,"Patients whose final 3-year ICD-10 research diagnosis was schizophrenia (first-episode schizophrenia, FES), among the 420 who completed 3-year follow-up. A post-hoc diagnostic split of one recruited sample, so `subgroup` rather than a separate cohort: the split is made at 3 years on the longitudinal course, not at recruitment.",no,,,no,no,,,,,,
hk_easy_fep_2001_2003,femp,subgroup,none,not_applicable,,"Patients whose final 3-year ICD-10 research diagnosis was mania with psychotic features (first-episode mania with psychotic features, FEMP), among the 420 who completed 3-year follow-up. Post-hoc diagnostic split of the same recruited sample as arm `fes`.",no,,,no,no,,,,,,
jump_norway,cohort,cohort,selected,vocational_service_entry,Job Management Programme (JUMP),"10 months of vocational rehabilitation in competitive workplaces, work placements and sheltered workshops with formalised collaboration between mental health and vocational services, augmented for 6 months by cognitive remediation (three counties) or work-focused CBT techniques (three counties). Both allocation groups are merged in every whole-cohort figure. No non-augmented control arm exists.",yes,6,,unclear,unclear,yes,no,yes,yes,no,148
jump_norway,consent_reg,subgroup,selected,vocational_service_entry,Job Management Programme (JUMP),"The 69 of 148 JUMP participants (45 CBT, 24 CR) who gave separate consent for extraction of health and welfare register data for the cost-effectiveness analysis. The subgroup criterion (consent to register linkage) is NOT itself employment related; the cohort-level vocational-service restriction still applies. The authors report no significant difference between consenters and decliners on diagnosis, age, sex, DDD, symptoms, education, previous work experience or 2-year employment outcome.",yes,6,,unclear,unclear,,,,,,69
pafip_spain,cohort,cohort,unclear,incomplete_reporting,,"PAFIP: three-year specialised early intervention programme (low-dose antipsychotic medication with side-effect monitoring, patient and family psychoeducation, cognitive behavioural interventions, 'support for functional recovery based on return to normal daily activities (work/study)'), delivered to every participant; no allocation. mayoralvanson2019 adds that 'PAFIP has close social worker follow-up, intervention, and coordination with occupational and employment resources, aimed at getting out patients back into the labour market as soon as possible' (p. 1188). Recorded as provenance for applicability: the care received includes employment support, which is not an eligibility restriction.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,157
ontracky_ny,cohort,cohort,none,not_applicable,,"OnTrackNY coordinated specialty care: multidisciplinary team (team leader, primary clinicians, outreach and recruitment coordinator, supported education and employment specialist, prescriber, nurse) delivering evidence-based psychosocial interventions and medication to every participant for an expected average of two years; no allocation. The supported education and employment specialist is part of the care received and is recorded as provenance for applicability.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,325
ontracky_ny,training_split,subgroup,none,not_applicable,,"The training/cross-validation split used by basaraba2023 for model development: 1038 of the 1298 OnTrackNY clients in 19 of the 20 sites, with a holdout test set of about 20 per cent reserved for external validation. Same OnTrackNY care as the cohort arm. Coded subgroup rather than cohort because it is a split of the report's own recruited sample, not the whole of it; the split is a statistical device and is not employment-related.",no,19,,no,no,,,,,,1038
us_vha,relapse,subgroup,none,not_applicable,,"benson2022's relapse cohort: veterans with at least one schizophrenia-related relapse (inpatient stay or emergency department visit with a schizophrenia diagnosis) in the 12-month pre-index period, 16,866 of the 119,343, of whom 16,862 were propensity-score matched 1:1 to the nonrelapse cohort. No intervention is assigned; care is whatever the VHA delivered. Selected on relapse history, which is clinical and not employment-related.",no,,,no,no,,,,,,16862
us_vha,nonrelapse,subgroup,none,not_applicable,,"benson2022's nonrelapse cohort: veterans with no schizophrenia-related relapse in the 12-month pre-index period, 102,477 of the 119,343, of whom 16,862 were propensity-score matched 1:1 to the relapse cohort. No intervention is assigned. Matching discards 85 per cent of the eligible nonrelapse veterans, so this arm is not a whole recruited cohort.",no,,,no,no,,,,,,16862
eppic_ips_rct,ips,intervention,none,not_applicable,Individual placement and support (IPS) plus treatment as usual,"Six months of IPS delivered by a vocational specialist embedded in the EPPIC clinical team, in addition to standard EPPIC treatment",no,,,no,yes,,,,,,73
eppic_ips_rct,tau,control_tau,none,not_applicable,,"Treatment as usual: referral to external government-contracted employment agencies, plus standard EPPIC treatment (medical management, out-patient case management, group programme, peer and family support)",no,,,no,yes,,,,,,73
eppic_ips_rct,cohort,cohort,none,not_applicable,,"Both randomised arms merged: the 18-month sample analysed by clarke2023 contains 54 participants from the vocational (IPS) arm and 46 from TAU (clarke2023 Table 4, p. 775), with treatment group entered only as a covariate. Half the merged cohort therefore received six months of IPS.",no,,,no,yes,yes,no,yes,yes,no,146
chicago_followup,cohort,cohort,none,not_applicable,,"Whole recruited cohort: consecutive acute admissions to two Chicago hospitals, followed naturalistically at approximately 2, 4.5, 7.5, 10, 15 and 20 years. No allocation. No whole-cohort employment count is reported in either F04 report, so this row carries no result.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,
chicago_followup,sz_ap20y,subgroup,none,not_applicable,,"Patients with schizophrenia prescribed antipsychotic medication at the 20-year follow-up assessment, irrespective of earlier medication status. Naturalistic, not allocated.",no,,,no,no,,,,,,
chicago_followup,sz_noap20y,subgroup,none,not_applicable,,"Patients with schizophrenia not prescribed antipsychotic medication at the 20-year follow-up assessment, irrespective of earlier medication status. Naturalistic, not allocated.",no,,,no,no,,,,,,
pune_public,cohort,cohort,none,not_applicable,,"Whole recruited cohort of 150 out-patients with severe mental illness attending one public hospital; observational, no allocation and no vocational intervention",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,150
suffolk_county,s2017_scz_bp_complete,subgroup,none,not_applicable,,Participants at the 20-year follow-up with complete data and a 10-year consensus diagnosis of schizophrenia/schizoaffective disorder (n=80) or bipolar disorder (n=48); no vocational intervention was delivered by the study,no,,,no,no,,,,,,128
suffolk_county,s2018_scz,subgroup,none,not_applicable,,Participants at the 20-year follow-up whose 10-year consensus diagnosis was schizophrenia or schizoaffective disorder; no vocational intervention was delivered by the study,no,,,no,no,,,,,,146
suffolk_county,s2018_bp,subgroup,none,not_applicable,,Participants at the 20-year follow-up whose 10-year consensus diagnosis was bipolar disorder with psychosis; no vocational intervention was delivered by the study,no,,,no,no,,,,,,87
yuli_taiwan,cohort,cohort,selected,current_placement,,"Therapeutic-community occupational rehabilitation; every resident was allocated at baseline to a hospital-based workshop, sheltered employment or supported employment",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,
headspace_hep_fep_au,cohort,cohort,none,not_applicable,,"headspace Early Psychosis programme: community early-intervention care by a multidisciplinary team, with vocational support and embedded Individual Placement and Support workers as one of 16 core service components, delivered at 15 headspace centres in six clusters",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,1574
dk_eop_pooled,cohort,cohort,none,not_applicable,,"Care as received in Danish child and adolescent psychiatric services; one constituent study (TEA) randomised participants to quetiapine extended release or aripiprazole, and all of its participants are included",no,,,no,no,yes,no,no,yes,no,205
iusmm_montreal,cohort,cohort,none,not_applicable,,"Whole first-admission incidence cohort followed on usual sectorised catchment-area psychiatric care for 27-31 years; no allocation. Occupational status could only be read from charts for patients still followed by the catchment-area service, which is loss of ascertainment rather than an employment-related restriction of the denominator (D12.3c).",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,142
va_ct_vr,cg,control_active,none,not_applicable,Portable cognitive games (Nintendo Brain Age-2) plus the participant's vocational rehabilitation services and a weekly goal-setting group,"Hand-held Nintendo DS running Brain Age-2, used as a face-valid sham control that participants could take home; vocational rehabilitation services were unrelated to randomisation and freely accessible to both arms.",no,,,yes,yes,,,,,,38
va_ct_vr,cr,intervention,none,not_applicable,Laboratory-based cognitive remediation (Posit Science Brain Fitness and Insight) plus the participant's vocational rehabilitation services and a weekly goal-setting group,Targeted auditory and visual discrimination and memory training performed on site in a 'Cog Lab' with a monitor present; vocational rehabilitation services were unrelated to randomisation and freely accessible to both arms.,no,,,yes,yes,,,,,,39
pepp_ontario_1997,cohort,cohort,none,not_applicable,,"Whole recruited cohort of PEPP clients who consented to the long-term follow-up study, treated in a specialised early intervention programme; no allocation.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,132
nimh_ctnb,cohort,cohort,selected,analytic_restriction,,"Whole recontacted follow-up cohort of former NIMH CTNB research volunteers; no allocation. The analysed denominator is restricted on employment-related grounds: 'Those who reported they were “retired” (n = 4) or for whom employment status was not able to be determined (n = 1) at follow-up were not included in the cohort' (Methods 2.1, p. 2). Removing retirees removes people who are by definition not employed, so the printed 45.2% sits on a denominator conditioned on labour-force status; the exclusion of the 1 undetermined case is ordinary missingness and is not the reason for this classification.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,124
cross_tracks_dk,cohort,cohort,none,not_applicable,,"Whole register cohort of first-episode psychotic disorder in the Central Denmark Region under routine care; no allocation. The exclusion of individuals receiving a disability pension at baseline defines the study population itself and is therefore recorded at cohort level as employment_selection_status = selected, not as a further analytic restriction here.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,2598
eppic_melbourne_1998,cohort,cohort,none,not_applicable,,"Whole treated epidemiological cohort audited from EPPIC files; specialised first-episode psychosis care for up to 18 months, no allocation.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,661
eidp_usa,cohort,cohort,selected,analytic_restriction,,"Both randomised EIDP conditions merged into a single analysed sample. The 449 are the participants from six of the eight sites who joined the supplemental economic study, consented to SSA data matching, were verified, and had a Social Security Disability Analysis File record; 35 were dropped for having no SSI or SSDI record and 3 for dying before 2000.",no,,,yes,yes,yes,yes,yes,yes,no,449
eidp_usa,se,intervention,selected,analytic_restriction,Evidence-based supported employment,"Supported employment delivered by employment specialists on multidisciplinary teams meeting frequently to coordinate employment and clinical services, aiming at placement in competitive jobs meeting career preferences, with job search beginning soon after entry and supports throughout.",no,,,yes,yes,,,,,,234
eidp_usa,control,control_active,selected,analytic_restriction,"Usual services, alone or with unenhanced vocational rehabilitation","Coded control_active rather than control_tau because the control condition 'was defined as either usual services alone or usual services plus unenhanced vocational rehabilitation services', so part of the arm received a vocational service.",no,,,yes,yes,,,,,,215
hartford_ips_rct,ips,intervention,none,not_applicable,Individual Placement and Support,"High-fidelity IPS supported employment from a three-person vocational team alongside usual mental health treatment, with annual fidelity assessment. The 51 of 68 result uses the whole allocated arm as its denominator; every other analysis in this report is restricted to the 51 who obtained competitive work, which is selection on the outcome and yields no employment proportion.",no,,,yes,yes,,,,,,68
eis_ferrara,cohort,cohort,none,not_applicable,,"Whole recruited cohort of an observational early intervention service; no allocation. 232 screened, 174 met the enrolment criteria.",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,174
ct_dual_diagnosis,sz_sud,subgroup,none,not_applicable,,"The 150 of the 198 enrolled who were diagnosed with schizophrenia or schizoaffective disorder; 'Participants with nonschizophrenia diagnoses were excluded for this report in order to employ the same eligibility criteria as the NH study.' A diagnostic subgroup of a randomised trial whose two case-management arms were merged, so it is not a whole recruited cohort and takes arm_type subgroup.",no,,,no,no,,,,,,150
stockholm_2005,men,subgroup,none,not_applicable,,"Men among the 756 cases. Results for men and women are a post-hoc split of one recruited register cohort, not two recruited samples, so they are subgroup arms rather than separate cohorts. No combined-sex employment rate is printed anywhere in the report, which is why there is no whole-cohort arm.",no,,,no,no,,,,,,421
stockholm_2005,women,subgroup,none,not_applicable,,Women among the 756 cases; see the men arm.,no,,,no,no,,,,,,335
raise_etp,cohort,cohort,none,not_applicable,,"Both allocation groups of the RAISE-ETP cluster-randomised trial (NAVIGATE coordinated specialty care and usual community care) analysed together, with treatment group entered as a moderator and clustering by site accounted for. employment_targeted_intervention is `unclear` because this report does not describe the intervention components at all, referring to the parent trial reports; the experimental programme is widely reported to include a supported employment and education component, which cannot be established from this source either way.",yes,34,,no,no,yes,no,unclear,yes,no,404
eye2_trial,eye2,intervention,none,not_applicable,"EYE-2 (Early Youth Engagement, version 2) plus standardised EIP","Team-based motivational engagement intervention delivered over the whole follow-up alongside standardised EIP, addressing engagement through a motivational therapeutic alliance focused on patient treatment goals, broad systemic social support, and psychoeducation using the EYE-2 booklet series and website. Not an employment intervention, although its goal-focused alliance can encompass socio-occupational goals.",yes,11,,no,no,not_applicable,no,no,yes,not_applicable,652
eye2_trial,seip,control_tau,none,not_applicable,Standardised stand-alone early intervention in psychosis (sEIP),"Standardised stand-alone EIP comprising early detection, assertive engagement, work with diagnostic uncertainty, positive risk-taking, person, family and recovery focus, and NICE-recommended medication, cognitive-behavioural, family, physical and vocational interventions. Note that vocational interventions are part of standard care in BOTH arms.",yes,9,,no,no,not_applicable,no,no,yes,not_applicable,375
dk_registers_birth,cohort,cohort,none,not_applicable,,Whole-population register cohort under usual Danish health and welfare provision; no allocation and no study intervention.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,9448
fi_registers_scz,cohort,cohort,none,not_applicable,,Whole national register cohort of first hospitalisations for schizophrenia under usual Finnish health and welfare provision; no allocation and no study intervention.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,6939
fi_registers_nonaff,cohort,cohort,none,not_applicable,,Whole national register cohort of first hospitalisations for other nonaffective psychosis under usual Finnish health and welfare provision; no allocation and no study intervention.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,34565
hk_jcep_2009,ei_analysed,subgroup,none,not_applicable,"Early intervention (JCEP), 2 or 4 years","The two early-intervention allocations of the JCEP trial merged: 2 years of EI followed by 2 years of standard care (n = 120) and 4 years of EI (n = 120). The third allocation, 4 years of standard care (n = 120), was excluded from the analysis. This is a post-randomisation selection on treatment received, so the 240 is NOT a whole recruited cohort and cannot enter the prevalence intercept (SAP 2.1). arm_type is subgroup rather than intervention because the unit merges two distinct allocations.",no,,,no,no,no,yes,no,yes,no,240
vivantes_berlin_rct,ips,intervention,none,not_applicable,"Individual Placement and Support (IPS-Y) plus adherence therapy, added to standard care","12-month IPS delivered to IPS-Y fidelity (rated 88 to 104 of 125 over the trial), with an add-on of up to eight adherence therapy sessions based on motivational interviewing integrated into the IPS meetings. Explicitly an employment, education and training intervention.",no,,,no,yes,not_applicable,no,yes,yes,not_applicable,56
vivantes_berlin_rct,tau,control_tau,none,not_applicable,Treatment as usual in an outpatient psychiatric service,"Individually tailored care in a low-threshold interdisciplinary outpatient mental health service for young adults aged 16-35, combining medication, psychoeducation, psychological therapies, family intervention, social work and general support. Social workers and counselling staff refer patients to traditional vocational rehabilitation programmes, so the control arm has a vocational pathway although not IPS.",no,,,no,yes,not_applicable,no,no,yes,not_applicable,54
vivantes_berlin_rct,ips_edu,subgroup,selected,analytic_restriction,"Individual Placement and Support (IPS-Y) plus adherence therapy, education/training subsample","The IPS arm restricted to the education/training subsample. Section 3.4 defines the subsample as 'Excluding all participants who never received education or training during the follow-up period', which is a restriction on an outcome-related event occurring after randomisation, so the comparison with tau_edu is no longer protected by randomisation.",no,,,unclear,yes,not_applicable,yes,yes,yes,not_applicable,25
vivantes_berlin_rct,tau_edu,subgroup,selected,analytic_restriction,"Treatment as usual, education/training subsample","The TAU arm restricted to the education/training subsample, defined as in ips_edu.",no,,,unclear,yes,not_applicable,yes,no,yes,not_applicable,29
bangkok_licm,cohort,cohort,none,not_applicable,,"The whole recruited cohort of 549, within which 64 attended the less intensive case management (LICM) programme and 485 did not. Assignment was by clinician judgement on symptoms and adherence, not randomisation. LICM targeted engagement and medication adherence, not employment. NO whole-cohort employment count is recorded against this arm: see unresolved_queries.md U9, because the only route to one is a sum across the two stage subgroups, which have different arm_ids and different denominators and so cannot be named as components under D12.2.",no,,,no,no,not_applicable,not_applicable,no,not_applicable,not_applicable,549
bangkok_licm,early,subgroup,none,not_applicable,,"Early-stage subgroup: participants with one or fewer previous psychotic relapses. A post-hoc split of the single recruited cohort, combining LICM and non-LICM participants.",no,,,no,no,,,,,,372
bangkok_licm,later,subgroup,none,not_applicable,,"Later-stage subgroup: participants with more than one previous psychotic relapse. A post-hoc split of the single recruited cohort, combining LICM and non-LICM participants.",no,,,no,no,,,,,,177
bangkok_licm,early_nonlicm,control_tau,none,not_applicable,Usual services without LICM,"Early-stage participants not attending LICM. Office-based hospital care, non-assertive engagement, no home visits, monthly to three-monthly contact. A few received isolated programme components (accompanied transport 5.36%, help accessing disability benefits 1.86%, medicine delivery 0.41%); none received the home-visit component.",no,,,no,no,,,,,,346
bangkok_licm,early_licm,intervention,none,not_applicable,Less intensive case management (LICM) led by community health workers,"Early-stage participants attending LICM: weekly to monthly home visits by a community health worker acting as case manager, with psychoeducation, medication adherence management, appointment arrangement, accompanied transport and facilitated access to disability benefits, supervised by two programme coordinators and a hospital team. Not an employment intervention; employment was used as a proxy for social functioning.",no,,,no,no,,,,,,26
bangkok_licm,later_nonlicm,control_tau,none,not_applicable,Usual services without LICM,Later-stage participants not attending LICM; see early_nonlicm.,no,,,no,no,,,,,,139
bangkok_licm,later_licm,intervention,none,not_applicable,Less intensive case management (LICM) led by community health workers,Later-stage participants attending LICM; see early_licm.,no,,,no,no,,,,,,38
pune_private,cohort,cohort,none,not_applicable,,Whole recruited cohort receiving routine psychiatric outpatient treatment at two private hospitals; no allocation and no study intervention,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,550
national_eden,cohort,cohort,none,not_applicable,,"Whole recruited cohort receiving routine early intervention care across 14 NHS England early intervention services; naturalistic, no allocation",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,1027
crisp_glasgow,cohort,cohort,none,not_applicable,,"Whole recruited cohort followed on an FEP Integrated Care Pathway in NHS Greater Glasgow & Clyde; non-randomised prospective study, no allocation",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,83
glasgow_edinburgh_2006,cohort,cohort,none,not_applicable,,"Whole recruited cohort followed in NHS Glasgow and NHS Edinburgh mental health services; no allocation. The analysed denominator is restricted only by outcome availability, which is attrition under D12.3c, so the arm-level analysis selection is none even though the cohort-level recruitment status is unclear",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,79
sunyatsen_guangzhou,cohort,cohort,none,not_applicable,,Whole first-admission cohort followed naturalistically; pharmacotherapy plus psychotherapeutic and early psychosocial intervention as clinically indicated; no allocation,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,276
helsinki_eps,cohort,cohort,none,not_applicable,,Whole recruited cohort receiving standard treatment during follow-up; no allocation. n_entered is blank because the size of the recruited Helsinki Early Psychosis Study cohort is never printed; 67 had baseline cognitive data and 54 had both baseline cognitive and 1-year clinical data,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,
changsha_act_rct,act,intervention,unclear,incomplete_reporting,Culturally adapted Assertive Community Treatment (ACT),"Free culturally adapted ACT: two to three community or home visits per week, clinical assessment and crisis intervention, psychosocial assistance, supportive counselling, family support including setting goals for employment, functional assistance, and 2-hour monthly family psychoeducation for 12 months. The team included a part-time employment specialist, so the intervention is employment-targeted and no trial-derived whole-cohort row may be created.",no,,,unclear,no,,,,,,30
changsha_act_rct,tau,control_tau,unclear,incomplete_reporting,Standard community treatment (the national '686 program'),"Existing '686 program' community mental health services free of charge: outpatient psychiatric visits every 1-3 months and home visits by public health professionals every 1-3 months with free psychotropic medication. To ensure delivery, the study team also made a monthly telephone call and a 3-monthly home visit over the 12-month follow-up.",no,,,unclear,no,,,,,,30
eppic_melbourne_2011,cohort,cohort,none,not_applicable,,Whole treated-incidence cohort of an early psychosis service; no allocation. Up to two years of comprehensive case management with assertive outreach.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,1220
eppic_melbourne_2011,migrants,subgroup,none,not_applicable,,"First-generation migrants, i.e. young people born outside Australia; a post-hoc split of the one recruited cohort by country of birth.",no,,,no,no,,,,,,293
eppic_melbourne_2011,australian_born,subgroup,none,not_applicable,,"Young people born in Australia, including second-generation migrants, whom the authors state could not be identified separately; a post-hoc split of the one recruited cohort by country of birth.",no,,,no,no,,,,,,903
saopaulo_prevoc,cohort,cohort,selected,work_intention_or_readiness,,Whole recruited sample; all 53 completed the same prevocational training group before baseline. No allocation and no comparator.,no,,,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,53
saopaulo_prevoc,eg_worked,subgroup,selected,analytic_restriction,,"Employed group (EG): the 19 participants who obtained any kind of paid work for at least 30 days during follow-up. Defined BY the outcome, so it is a post-hoc outcome-defined subgroup and can support no prevalence.",no,,,no,yes,,,,,,19
brooklyn_tsw_rct,evr,control_active,selected,prior_employment_failure,Enhanced Vocational Rehabilitation (E-VR),"Usual vocational services enhanced by a half-day workshop for vocational specialists on cognitive impairment and job-relevant coping strategies, plus consultation calls every one to three months.",no,,,yes,unclear,,,,,,26
brooklyn_tsw_rct,tsw,intervention,selected,prior_employment_failure,Thinking Skills for Work (TSW) plus Enhanced Vocational Rehabilitation,"The same enhanced vocational services plus manualised cognitive remediation: about 24 hours of Cogpack computer exercises with strategy coaching and taught self-management strategies, delivered by a cognitive specialist integrated into the vocational team.",no,,,yes,unclear,,,,,,28
institute_living_rct,ivip,intervention,selected,prior_employment_failure,Indianapolis Vocational Intervention Program (IVIP),"Manualised CBT-informed group programme targeting defeatist beliefs about work, four modules of two sessions, delivered weekly in groups of two to three alongside a four-month work therapy placement that both arms received.",no,,,yes,no,,,,,,29
institute_living_rct,sg,control_active,selected,prior_employment_failure,Supportive therapy group (SG),"Time-matched active control: weekly 45-minute participant-led support and discussion about work-related issues, with no curriculum and no personalised work feedback, alongside the same four-month work therapy placement.",no,,,yes,no,,,,,,35
radar_trial,cohort,cohort,none,not_applicable,,"Whole randomised RADAR cohort with both allocation groups combined, as the report itself does: 126 allocated to supported gradual antipsychotic dose reduction and discontinuation and 127 to maintenance antipsychotic treatment. The experimental intervention is a medication regimen, not an employment intervention.",no,,,no,no,yes,no,no,yes,no,253
radar_trial,relapsed,subgroup,none,not_applicable,,Participants with at least one relapse of any severity during the 24-month trial. A POST-RANDOMISATION subgroup defined by an event occurring after allocation.,no,,,no,no,,,,,,82
radar_trial,not_relapsed,subgroup,none,not_applicable,,Participants with no relapse during the 24-month trial. A POST-RANDOMISATION subgroup defined by an event occurring after allocation.,no,,,no,no,,,,,,171
nirp_italy,cohort,cohort,none,not_applicable,,Whole NIRP follow-up cohort; no allocation. Participants received routine community mental health care at 24 Italian university psychiatric clinics or mental health departments,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,921
