report_id,first_author,year,title,journal,doi,source_filename,file_sha256,source_available,eligibility_status,report_quantifiable,exclusion_reason,study_id,cohort_id,cohort_overlap_notes,metadata_source,screening_list,screening_row,notes,data_request_status,data_request_date,data_response_date
chan2022,Chan,2022,Longitudinal relapse pattern of patients with first-episode schizophrenia-spectrum disorders and its predictors and outcomes: A 10-year follow-up study,Asian Journal of Psychiatry,10.1016/j.ajp.2022.103087,1-s2.0-S1876201822000855-main.pdf,eb7e94f8207ecbc6ddb1e3ccade530e6cc9c58f41b7b68f60ac5b2076b589c21,yes,include,no,not_applicable,hk_easy_2001,hk_easy_2001,describes hk_easy_2001 and hk_standard_care_2000; overlaps_with hk_easy_fep_2001_2003 (chang2016); no established relation to chang2016b,crossref,yes,54,mean cumulative months only; same cohort as chan2019,drafted,,
chang2016,Chang,2016,Three-year clinical and functional outcome comparison between first-episode mania with psychotic features and first-episode schizophrenia,Journal of Affective Disorders,10.1016/j.jad.2016.01.050,1-s2.0-S016503271531106X-main.pdf,fb1432e7abce5a21d2e8c8fc40a6e439da2280bcbe145b52d8e309db38028c09,yes,include,yes,not_applicable,hk_easy_2001,hk_easy_fep_2001_2003,"shares cohort with: chan2019, chan2022, chang2016b",crossref,yes,56,"132/420 at 3y; sustained employment over 12 consecutive months, period prevalence",drafted,,
chang2016b,Chang,2016,Prediction of functional remission in first-episode psychosis: 12-month follow-up of the randomized-controlled trial on extended early intervention in Hong Kong,Schizophrenia Research,10.1016/j.schres.2016.03.016,1-s2.0-S0920996416301098-main.pdf,540c1cc7ecea14f486c87115856b0fdf62fada22b6fb2253ea76a0f21a76f132,yes,include,no,not_applicable,hk_easy_2001,hk_easy_ext_rct,"shares cohort with: chan2019, chan2022, chang2016",crossref,yes,59,employment only as a component of composite functional remission,drafted,,
chen2023,Chen,2023,Factors Affecting Employability of Patients with Schizophrenia who had First Participated in Vocational Training: A Pilot Study,Psychiatric Quarterly,10.1007/s11126-023-10020-3,s11126-023-10020-3.pdf,45d309a88a78d1d07dab7d0e069f29a5607f0ba2e28528faaa5d7cb40e8d66d1,yes,include,,not_applicable,kaisyuan_taiwan,kaisyuan_taiwan,,crossref,yes,53,"whole sample in vocational training by design; zero change at 12m; 14 supported, 31 paid sheltered",not_requested,,
christensen2019,Christensen,2019,Effects of Individual Placement and Support Supplemented With Cognitive Remediation and Work-Focused Social Skills Training for People With Severe Mental Illness,JAMA Psychiatry,10.1001/jamapsychiatry.2019.2291,jamapsychiatry_christensen_2019_oi_190051.pdf,2907b47b6e598baf0f2e335c2f94365841f809c974aa35a3f9cd60cc1ebb3e5b,yes,include,,not_applicable,ips_denmark_rct,ips_denmark_rct,,crossref,yes,34,all expressed desire for competitive employment; ever-employed; mixed SMI 76.5% schizophrenia spectrum,not_requested,,
clarke2023,Clarke,2023,Heterogeneity of quality of life in the later stages of first-episode psychosis recovery,Quality of Life Research,10.1007/s11136-022-03277-x,11136_2022_Article_3277.pdf,646a8905cc8d58f2ccb7a6cc66fae095aacdaba354b028fde6985cd6b85695b6,yes,include,yes,not_applicable,eppic_ips_rct,eppic_ips_rct,,crossref,yes,83,37/100 at 18m CONFIRMED; employment selection CONFIRMED as `selected` (work intention or readiness),drafted,,
conus2017,Conus,2017,Rates and predictors of 18-months remission in an epidemiological cohort of 661 patients with first-episode psychosis,Social Psychiatry and Psychiatric Epidemiology,10.1007/s00127-017-1388-7,s00127-017-1388-7.pdf,a3aecd9246b2332c4cc9853fb8a52b176a7caeba4750dbb5ff52b5763b137e4c,yes,include,yes,not_applicable,eppic_melbourne_1998,eppic_melbourne_1998,,crossref,yes,5,"255/571 confirmed; construct is vocational_activity (MVSI counts 'paid or unpaid full- or part-time employment, being an active student in school or university, or head of household with employed partner (homemaker), or full- or part-time volunteer'), so not paid_any and not paid_or_education; ADD: the endpoint is discharge or last file entry, with time in service from under 1 week to 208 weeks (mean 63.3), so the printed '18 months' is not an elapsed follow-up common to the cohort and followup_basis is not since_baseline",drafted,,
cook2016,Cook,2016,Long-Term Effects of Evidence-Based Supported Employment on Earnings and on SSI and SSDI Participation Among Individuals With Psychiatric Disabilities,American Journal of Psychiatry,10.1176/appi.ajp.2016.15101359,cook-et-al-2016-long-term-effects-of-evidence-based-supported-employment-on-earnings-and-on-ssi-and-ssdi-participation.pdf,d5357cd60dee6cb9814c4d9a6752d31bb8e94c0f3a734b773b98cf09c2ea0c9d,yes,include,yes,not_applicable,eidp_usa,eidp_usa,"May share participants with hartford_ips_rct (detore2019), which states it was one of the eight EIDP site trials (cooperative #UD7 SM51818). Whether any Hartford participants are among these 449 cannot be determined because the six contributing sites are not named. Do not pool eidp_usa with hartford_ips_rct.",crossref,yes,71,"CONFIRMED: 'desiring employment; being unemployed (except at one site)' (Method, p. 1008); ever-employed 2000-2012 (any_time_during_followup); 24.5% died and were right-censored. ADDITION: the 13 years are the fixed calendar window 2000-2012 while entry ran 1996-1998, so followup_basis = calendar_end_common (D12.8) and the result is barred from every landmark horizon.",drafted,,
cunningham2025,Cunningham,2025,Indigenous–non-Indigenous disparities in health and social outcomes 5 years after first episode psychosis: national cohort study,BJPsych Open,10.1192/bjo.2024.827,S2056472424008275a.pdf,97da15c2c4f569d5671497dbc4aa4b73958aa1f926f84f528d68fb3b09ef982a,yes,include,,not_applicable,nz_idi,nz_idi,,crossref,yes,28,744/2193 at 5y; counts randomly rounded to base 3 by Stats NZ,drafted,,
darjee2017,Darjee,2017,"Schizophrenia in a high-security hospital: long-term forensic, clinical, administrative &amp; social outcomes",The Journal of Forensic Psychiatry &amp; Psychology,10.1080/14789949.2017.1308537,Schizophrenia in a high-security hospital  long-term forensic  clinical  administrative   social outcomes.pdf,5e9668bccbfc36d12ba7cd31b178922fc77fd7e4e3e9a35deccc08bca6f1c69c,yes,include,,not_applicable,carstairs_1992,carstairs_1992,"shares cohort with: thomson2023 | MULTIPLE INCLUDED REPORTS, apply result selection rule",crossref,yes,67,NEAR-ZERO EVENTS 1 in supported work; denominator not stated; same cohort as thomson2023,drafted,,
dayabandara2026,Dayabandara,2026,Outcome of first episode and relapsing patients with schizophrenia presenting to a tertiary care hospital in Sri Lanka: A prospective one year follow up study,Asian Journal of Psychiatry,10.1016/j.ajp.2026.104842,1-s2.0-S1876201826000158-main.pdf,3703e8f287aeedeef469e2fa4b713b954d550f466f2575e5fe3afb1a93866c0d,yes,include,,not_applicable,nhsl_colombo,nhsl_colombo_fep,Two parallel cohorts. The scalar cohort_id carries the primary-contributing cohort only; report_cohort_map.csv is the authority and carries both.,crossref,yes,55,"99/240 at 12m across two parallel cohorts, FEP 57/122 and relapsing 42/118",not_requested,,
delpiccolo2024,Del Piccolo,2024,Individual placement and support focusing on employment and education for young people at clinical high risk of psychosis: A feasibility study.,Psychiatric Rehabilitation Journal,10.1037/prj0000585,2024-21489-001.pdf,c8f05dd83295e0f1d996e1def417c0849db5e7558f238e88a00abc8de8efa703,yes,not_in_screening_set,,not_applicable,oasis_chr,oasis_chr,,crossref,no,,"CHR not psychosis; also only 6-month follow-up | DISPOSITION 11 August 2026: was `exclude`. Not on the DATA_EXTRACTION_FINAL.xlsx screening list of 90, so this is not an eligibility decision and the row is not counted in the PRISMA eligibility flow. Reinstating it requires a documented screening-list amendment, not a status change.",,,
detore2019,DeTore,2019,"Disclosure of mental illness to prospective employers: Clinical, psychosocial, and work correlates in persons receiving supported employment",Psychiatry Research,10.1016/j.psychres.2019.01.017,1-s2.0-S0165178118320961-main.pdf,7eabc014e29e7e37791ff9895bcbc34be7e435a6acbb2f9d0427a218db4d17e8,yes,include,yes,not_applicable,hartford_ips_rct,hartford_ips_rct,"One of the eight Employment Intervention Demonstration Program site trials (acknowledgements, cooperative #UD7 SM51818), so its participants are EIDP participants and overlap the cohort cook2016 describes as eidp_usa. Separately, ct_dual_diagnosis (drake2015) recruited 1993-1998 in Hartford and Bridgeport with overlapping investigators; overlap with this Hartford sample is possible but unevidenced.",crossref,yes,84,"CONFIRMED: '(2) not employed at start of study; (3) interested in competitive employment' (Method 2.1, p. 313); 51 of 68 IPS participants obtained competitive work. ADDITION: the analysed sample of this paper is those 51, i.e. selected on the outcome, so no employment proportion can come from the paper's own analysis sample; and the 68 is an allocated arm, not a recruited cohort.",drafted,,
domenicano2025,Domenicano,2025,Sex differences in outcomes of first episode psychosis: results from an early intervention service,Frontiers in Behavioral Neuroscience,10.3389/fnbeh.2025.1642460,fnbeh-19-1642460.pdf,c598834dec4e438b4b99c833a38782032d92e1b5c1d006d4e3fc274fadd65b32,yes,include,yes,not_applicable,eis_ferrara,eis_ferrara,,crossref,yes,31,"47/101 at 24m per Table 2 and Figure 1. Attrition IS itemised in Figure 1 (174 -> 139: discharged 21, dropped out 14; 139 -> 101: discharged 23, dropped out 14). The real defect is a contradicted 24-month denominator: 104 (78M) in Results 3.2 against 101 (76M, 25F) in Figure 1 and Table 2, while Figure 1's own subtraction gives 102 (76M, 26F).",drafted,,
drake2015,Drake,2015,Longitudinal Course of Clients With Co-occurring Schizophrenia-Spectrum and Substance Use Disorders in Urban Mental Health Centers: A 7-Year Prospective Study,Schizophrenia Bulletin,10.1093/schbul/sbv110,sbv110.pdf,5f063901887b8908e355a1cc81c8201e8c26565954bb3ac4cdd9e65f4c4c5888,yes,include,no,not_applicable,ct_dual_diagnosis,ct_dual_diagnosis,,crossref,yes,81,"27 competitive jobs at 7 years, denominator NOT recoverable: Table 3 prints 27 (28%) over a column N of 90, but 27/90 = 30%, and no cell of that row matches its column N at any timepoint. Selection is clinical and social (SUD, service use, housing), which is NOT employment selection: employment_selection_status = none.",drafted,,
evensen2017,Evensen,2017,Employment outcome and predictors of competitive employment at 2-year follow-up of a vocational rehabilitation programme for individuals with schizophrenia in a high-income welfare society,Nordic Journal of Psychiatry,10.1080/08039488.2016.1247195,Employment outcome and predictors of competitive employment at 2-year follow-up of a vocational rehabilitation programme for individuals with schizoph.pdf,0c869a347b3568d3c9a77d63038dbcb68f6d71677fb704331f171e0b44ca1b2c,yes,include,yes,not_applicable,jump_norway,jump_norway,"shares cohort with: evensen2019, gjerdalen2023, klungsyr2021, lystad2017 | MULTIPLE INCLUDED REPORTS, apply result selection rule",crossref,yes,23,"CRITICAL SELECTION vocational-service entry (D9 `selected`); 31 of 139 observed at 2y, not 31/148",drafted,,
evensen2019,Evensen,2019,Exploring the potential cost-effectiveness of a vocational rehabilitation program for individuals with schizophrenia in a high-income welfare society,BMC Psychiatry,10.1186/s12888-019-2130-7,1234 3.pdf,7abe576f1e3ad8ba397fa5537b3a3fe54e975e57c4435812c2ed9cd95596a192,yes,include,yes,not_applicable,jump_norway,jump_norway,"shares cohort with: evensen2017, gjerdalen2023, klungsyr2021, lystad2017",crossref,yes,25,same participants as evensen2017 and gjerdalen2023; denominator 69 with cost data,not_requested,,
falk2016,Falk,2016,"Employment and income among first-time cases diagnosed with non-affective psychosis in Stockholm, Sweden: a follow-up study 2004/2005–2010",Social Psychiatry and Psychiatric Epidemiology,10.1007/s00127-015-1141-z,s00127-015-1141-z.pdf,a1a80ef1615f259f92e2948d74a5e788e7d2fbfb61c8466f76bb912097d4f452,yes,include,no,not_applicable,stockholm_2005,stockholm_2005,,crossref,yes,47,"CONFIRMED. ADDITION: follow-up is to the single calendar year 2010 from inclusion years 2005 or 2006, so followup_basis = calendar_end_common (D12.8), elapsed follow-up is 4 to 6 years, and the result is barred from every landmark horizon independently of the missing numerator.",drafted,,
fowler2019,Fowler,2019,Social Recovery Therapy in improving activity and social outcomes in early psychosis: Current evidence and longer term outcomes,Schizophrenia Research,10.1016/j.schres.2017.10.006,1-s2.0-S0920996417306151-main.pdf,4ebec6d9298cf22d9b28ad9c3c8fe73e67ea6f50350d6f40c974b8015b0fb721,yes,include,,not_applicable,isrep_rct,isrep_rct,,crossref,yes,16,"ZERO EVENTS 0/24 non-affective TAU; severe social disability, long prior unemployment",not_requested,,
fulford2018,Fulford,2018,Prospective Relationships Between Motivation and Functioning in Recovery After a First Episode of Schizophrenia,Schizophrenia Bulletin,10.1093/schbul/sbx096,sbx096.pdf,e1092b2af83f196fb34f14507655290fcb1bb46c17d24c9ea563e60ff57ceb4b,yes,include,no,not_applicable,raise_etp,raise_etp,,crossref,yes,39,"CONFIRMED on all three. ADDITION: the work-or-school score is three SURF items combined and then 'aggregated across 6-month time points', so the printed percentage is the mean of an aggregated score, not necessarily a proportion of participants; 39.8% at baseline is not n/404 for any integer n.",drafted,,
gjerdalen2023,Gjerdalen,2023,Vocational rehabilitation augmented with cognitive behavioral therapy or cognitive remediation for individuals with schizophrenia: a 5-year follow-up study,Nordic Journal of Psychiatry,10.1080/08039488.2022.2042598,Vocational rehabilitation augmented with cognitive behavioral therapy or cognitive remediation for individuals with schizophrenia  a 5-year follow-up .pdf,40cb3e610f0653da360cb731a3f9b208399241ce5b8dd8a499e1c355c7c47380,yes,include,yes,not_applicable,jump_norway,jump_norway,"shares cohort with: evensen2017, evensen2019, klungsyr2021, lystad2017 | MULTIPLE INCLUDED REPORTS, apply result selection rule",crossref,yes,66,"33/148 at 5y, PERIOD prevalence (worked >=1 month in the last calendar year); same participants as evensen2017 and evensen2019",drafted,,
greenwood2025,Greenwood,2025,The Early Youth Engagement (EYE-2) intervention in first-episode psychosis services: pragmatic cluster randomised controlled trial and cost-effectiveness evaluation,The British Journal of Psychiatry,10.1192/bjp.2024.154,the-early-youth-engagement-eye-2-intervention-in-first-episode-psychosis-services-pragmatic-cluster-randomised-controlled-trial-and-cost-effectiveness-evaluation.pdf,05b82e8e10484ab544fbbf07cb4c800a90c382aa3836909ee3dc2426b9d30000,yes,include,no,not_applicable,eye2_trial,eye2_trial,,crossref,yes,44,"CLUSTER randomised (20 EIP teams, 5 NHS sites, 11 v 9 teams, 652 v 375 patients) CONFIRMED. Employment only as adjusted mean days in an imputed subsample CONFIRMED (Table 2, p. 149: 7.56 days, 95% CI -35.64 to 50.76, N = 232 of 1027, footnote 'All models based on imputed data samples'). THREE ADDITIONS the note did not carry: (1) the Table 2 row is labelled 'Paid and unpaid employment', so the construct is vocational_activity and not paid_any; (2) the measure is a DURATION in days, not a prevalence, so the ascertainment vocabulary has no exact value for it; (3) the 232 is the consenting societal-cost subsample spanning both arms, of whom 456 refused consent and 339 were lost or not approached, and it differed from the whole sample on ethnicity and sex.",drafted,,
hakulinen2019,Hakulinen,2019,"The association between early-onset schizophrenia with employment, income, education, and cohabitation status: nationwide study with 35 years of follow-up",Social Psychiatry and Psychiatric Epidemiology,10.1007/s00127-019-01756-0,s00127-019-01756-0.pdf,d3d3be48bd8cb4fa2c5c69cd20ef7f90240c527583aabbf94d8586f43a723571,yes,include,no,not_applicable,dk_registers_birth,dk_registers_birth,,crossref,yes,7,"REFUTED AS A STATEMENT ABOUT THE HELD EVIDENCE: the Online Appendix is NOT in the PDF held at dissertation_shared_folder/Data Extraction Papers/s00127-019-01756-0.pdf, which is the 9-page article ending in the reference list, and no supplement for this report is in dissertation_shared_folder/supplements/. Neither the 9,444 denominator nor Appendix Table 2 could be seen or checked in this extraction. The article itself prints 9,448 as the number diagnosed between ages 15 and 25 (Results, Sample, p. 1346), not 9,444. The rest of the note is UPHELD and reinforced: back-calculation is forbidden, the outcome is an annual AKM status and therefore period prevalence, and exact numerators are needed from the authors. TWO ADDITIONS: (1) the measurement point is a fixed chronological age (25, 30, 40, 50, 60), not an elapsed follow-up, so followup_basis is chronological_age and the result is barred from every landmark horizon under D12.3b regardless of the counts; (2) the AKM construct is the single most important employment status of the year judged on the main source of income, so a person mainly on a disability pension counts as outside the labour market even if they did paid work, and the construct is therefore NOT paid_any.",drafted,,
hakulinen2020,Hakulinen,2020,Employment Status and Personal Income Before and After Onset of a Severe Mental Disorder: A Case-Control Study,Psychiatric Services,10.1176/appi.ps.201900239,hakulinen-et-al-2019-employment-status-and-personal-income-before-and-after-onset-of-a-severe-mental-disorder-a-case.pdf,e9e72616bdfcb973936f58534286777f90cfc839609362d564fc59f6a48b7c4b,yes,include,yes,not_applicable,fi_registers,fi_registers_scz,Two parallel cohorts. The scalar cohort_id carries the primary-contributing cohort only; report_cohort_map.csv is the authority and carries both.,crossref,yes,72,"CONFIRMED in all three parts. 968 is printed as a count in the Results ('on average, 14% (N=968) of individuals with schizophrenia ... were employed'); 6,939 is printed twice, in the Results and in Table 1's Year 0 row; 968/6939 = 13.95%, matching the printed 14%. Every other year is a line in Figure 1 with no counts and is not extracted. ADDITION: the other nonaffective psychosis group is equally recoverable at year 0, 11,335/34,565 = 32.8% against a printed 33%, and is extracted as a second cohort. The whole sentence is internally consistent: the bipolar group (3,875/9,047 = 42.8% against 43%) and both printed control figures (112,259/172,825 = 65.0%; 31,242/45,235 = 69.1%) reconcile as well.",drafted,,
hansen2024,Hansen,2024,Use and discontinuation of antipsychotic medication in 20 years following a first episode of schizophrenia: results from the OPUS trial,Psychological Medicine,10.1017/S0033291724002678,S0033291724002678a.pdf,8a78483ff44813b4b57622dcd7948a345fdc2039d67e5a05ede0b22c51c6afde,yes,include,,not_applicable,opus_1998,opus_1998,shares cohort with: hansen2024b,"first page, hand verified",yes,65,105/416 at 20y register; strict work definition gives 54/416,not_requested,,
hansen2024b,Hansen,2024,Clinical illness course and family-related outcomes among parents with a first episode of schizophrenia spectrum disorder: a 20-year follow-up of the OPUS trial,Psychological Medicine,10.1017/S0033291724000680,clinical-illness-course-and-family-related-outcomes-among-parents-with-a-first-episode-of-schizophrenia-spectrum-disorder-a-20-year-follow-up-of-the-opus-trial.pdf,571f00ac46b60a10912f8953bcb6295bafba2eab298ddc68723262be9139695f,yes,linked_report,,not_applicable,opus_1998,opus_1998,shares cohort with: hansen2024,crossref,yes,38,"64/174; same cohort as hansen2024, smaller denominator",not_requested,,
harrow2017,Harrow,2017,A 20-Year multi-followup longitudinal study assessing whether antipsychotic medications contribute to work functioning in schizophrenia,Psychiatry Research,10.1016/j.psychres.2017.06.069,1-s2.0-S0165178116321278-main.pdf,fa75fe20525bc05aa88eac61c23d6a90433d5761844ad596c3fc195fc6e8b5d3,yes,include,yes,not_applicable,chicago_followup,chicago_followup,shares cohort with: jones2024,crossref,yes,57,"9/36 and 16/22 at 20y as printed; NOT summed to 25/58; construct is not paid employment (carers and half-time students count as working, and paid work counts only at half-time or more)",drafted,,
